title,old_url,slug,new_url
the most comprehensive ways to import data with python.,http://blog.mightwhite.ir/?p=9,detailed-ways-to-import-data-with-python,/posts/detailed-ways-to-import-data-with-python/
TrainTestSplit explained with an Example,http://blog.mightwhite.ir/?p=21,traintestsplit,/posts/traintestsplit/
How i used OOP to simulate sampling methods in python.,http://blog.mightwhite.ir/?p=87,how-i-used-oop-to-simulate-sampling-methods-in-python,/posts/how-i-used-oop-to-simulate-sampling-methods-in-python/
تله آماری: فرق همبستگی و علیت,http://blog.mightwhite.ir/?p=127,تله آماری: فرق همبستگی و علیت,/posts/StatTrap
در دنیای یادگیری ماشین این ۷ نفر را باید بشناسید,http://blog.mightwhite.ir/?p=143,در دنیای یادگیری ماشین این ۷ نفر را باید بشناسید,/posts/ppl2know
معیارهای یادگیری ماشین را برای همیشه فرا بگیرید.,https://blog.mightwhite.ir/?p=160,معیارهای یادگیری ماشین را برای همیشه فرا بگیرید.,/posts/ClsEval
روش های کنترل کردن داده های از دست رفته.,https://blog.mightwhite.ir/?p=176,روش های کنترل کردن داده های از دست رفته.,/posts/missingvalues
برآورد بیشینه درستنمایی: مقدمه ای کوتاه ,https://blog.mightwhite.ir/?p=187,برآورد بیشینه درستنمایی: مقدمه ای کوتاه ,/posts/MLE
پدیده متناقض و شگفت انگیز bias-variance tradeoff,https://blog.mightwhite.ir/?p=188,پدیده متناقض و شگفت انگیز bias-variance tradeoff,/posts/bias_variance
مصورسازی داده ها: نگاهی در تاریخ,https://blog.mightwhite.ir/?p=247,مصورسازی داده ها: نگاهی در تاریخ,/posts/dataViz
